Num_Acc,grav,sexe,an_nais,catu,age,jour,mois,hrmn,lum,agg,atm,catr,lum_label,atm_label,agg_label,catr_label,grav_label,sexe_label,catu_label
202400000001,3,1,2003.0,1,21.0,25,3,07:40,2,1,5,3,Crépuscule ou aube,Brouillard ou fumée,Hors agglomération,Route départementale,Blessé hospitalisé,Masculin,Conducteur
202400000001,1,1,1997.0,1,27.0,25,3,07:40,2,1,5,3,Crépuscule ou aube,Brouillard ou fumée,Hors agglomération,Route départementale,Indemne,Masculin,Conducteur
202400000002,3,2,1927.0,3,97.0,20,3,15:05,1,2,7,4,Plein jour,Temps éblouissant,En agglomération,Voie communale,Blessé hospitalisé,Féminin,Piéton
202400000002,1,1,1987.0,1,37.0,20,3,15:05,1,2,7,4,Plein jour,Temps éblouissant,En agglomération,Voie communale,Indemne,Masculin,Conducteur
202400000003,4,2,2007.0,2,17.0,22,3,19:30,2,1,1,4,Crépuscule ou aube,Normale,Hors agglomération,Voie communale,Blessé léger,Féminin,Passager
202400000003,4,1,2007.0,3,17.0,22,3,19:30,2,1,1,4,Crépuscule ou aube,Normale,Hors agglomération,Voie communale,Blessé léger,Masculin,Piéton
202400000003,3,2,2008.0,3,16.0,22,3,19:30,2,1,1,4,Crépuscule ou aube,Normale,Hors agglomération,Voie communale,Blessé hospitalisé,Féminin,Piéton
202400000003,4,2,2007.0,1,17.0,22,3,19:30,2,1,1,4,Crépuscule ou aube,Normale,Hors agglomération,Voie communale,Blessé léger,Féminin,Conducteur
202400000003,1,1,2007.0,3,17.0,22,3,19:30,2,1,1,4,Crépuscule ou aube,Normale,Hors agglomération,Voie communale,Indemne,Masculin,Piéton
202400000004,4,1,1963.0,1,61.0,24,3,17:50,1,2,7,4,Plein jour,Temps éblouissant,En agglomération,Voie communale,Blessé léger,Masculin,Conducteur
202400000005,4,1,1981.0,1,43.0,25,3,19:35,5,1,2,1,Nuit avec éclairage public allumé,Pluie légère,Hors agglomération,Autoroute,Blessé léger,Masculin,Conducteur
202400000005,4,2,2005.0,1,19.0,25,3,19:35,5,1,2,1,Nuit avec éclairage public allumé,Pluie légère,Hors agglomération,Autoroute,Blessé léger,Féminin,Conducteur
202400000005,1,1,2000.0,1,24.0,25,3,19:35,5,1,2,1,Nuit avec éclairage public allumé,Pluie légère,Hors agglomération,Autoroute,Indemne,Masculin,Conducteur
202400000005,4,2,1963.0,1,61.0,25,3,19:35,5,1,2,1,Nuit avec éclairage public allumé,Pluie légère,Hors agglomération,Autoroute,Blessé léger,Féminin,Conducteur
202400000006,4,1,1975.0,1,49.0,25,3,04:00,5,2,1,4,Nuit avec éclairage public allumé,Normale,En agglomération,Voie communale,Blessé léger,Masculin,Conducteur
202400000006,1,1,1981.0,2,43.0,25,3,04:00,5,2,1,4,Nuit avec éclairage public allumé,Normale,En agglomération,Voie communale,Indemne,Masculin,Passager
202400000006,1,1,1983.0,2,41.0,25,3,04:00,5,2,1,4,Nuit avec éclairage public allumé,Normale,En agglomération,Voie communale,Indemne,Masculin,Passager
